Polymer Number,Reaction number,Polymer solubility in dichloro methane at a concentration of 40 mg/mL at room temperature,Physical state of the polymer determined by visual observation and polarized microscope analysis,Degradable,Monomer 1,Monomer 1 SMILES,Monomer 2,Monomer 2 SMILES,SMILES,Mn (kDa),Mw (kDa),D,"Monomer 1:
Monomer 2 (mole basis)",BigSMILES,Method Key
217,217,yes,fluid,yes,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,"3-methyl-1,5- pentanediol",OCCC(C)CCO,C(=O)CN(C)CC(=O)OCCC(C)CCO,3.53,6.05,1.72,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]OCCC(C)CC O[>][]}",M25
218,218,yes,fluid,yes,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,"1,10-decanediol",OCCCCCCCCCCO,C(=O)CN(C)CC(=O)OCCCCCCCCCCO,3.3,5.52,1.68,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]OCCCCCCC CCCO[>][]}",M25
219,219,yes,fluid,no,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,ethylene glycol,OCCO,C(=O)CSCC(=O)OCCO,3.05,5.06,1.66,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OCCO[>][]}",M25
220,220,yes,glassy,no,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,"1,4-Butanediol",OCCCCO,C(=O)CSCC(=O)OCCCCO,8.76,21.37,2.44,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OCCCCO[>][]}",M25
221,221,yes,fluid,no,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,"1,6-Hexanediol",OCCCCCCO,"C(=O)CSCC(=O)OCCCCCCO
",11.35,31.59,2.78,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OCCCCCCO[>][]
}",M25
222,222,yes,fluid,yes,Adipic acid,OC(=O)CCCCC(=O)O,"2,2-diethyl-1,3- propanediol",OCC(CC)(CC)CO,C(=O)CCCCC(=O)OCC(CC)(CC)CO,7.79,14.79,1.9,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC(CC)(CC) CO[>][]}",M25
223,223,yes,fluid,no,Adipic acid,OC(=O)CCCCC(=O)O,"1,2-Propanediol",OCC(C)O,C(=O)CCCCC(=O)OCC(C)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC(C)O[>][]}",M25
224,224,yes,fluid,no,Adipic acid,OC(=O)CCCCC(=O)O,"2-Methyl-1,3- propanediol",OCC(C)CO,"C(=O)CCCCC(=O)OCC(C)CO
",9.47,17.96,1.9,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC(C)CO[>][]
}",M25
225,225,yes,fluid,yes,Adipic acid,OC(=O)CCCCC(=O)O,"2-Butyl-2-ethyl- 1,3-propanediol",OCC(CC)(CCCC)CO,C(=O)CCCCC(=O)OCC(CC)(CCCC)CO,12.23,24.49,2,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC(CC)(CCC C)CO[>][]}",M25
226,226,yes,fluid,yes,Adipic acid,OC(=O)CCCCC(=O)O,"2,2,4-Trimethyl- 1,3-pentanediol",OCC(C)(C)C(C(C)C)O,C(=O)CCCCC(=O)OCC(C)(C)C(C(C)C)O,7.06,16.39,2.32,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC(C)(C)C(C( C)C)O[>][]}",M25
227,227,yes,glassy,yes,Adipic acid,OC(=O)CCCCC(=O)O,"2,2-Dimethyl-1,3- propanediol",OCC(C)(C)CO,"C(=O)CCCCC(=O)OCC(C)(C)CO
",6.02,11.83,1.96,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC(C)(C)CO[
>][]}",M25
228,228,yes,crystalline,yes,Adipic acid,OC(=O)CCCCC(=O)O,"cis-2-Butene-1,4- diol",OC/C=C\CO,"C(=O)CCCCC(=O)OC/C=C/CO
",9.66,18.83,1.95,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OC/C=C/CO[>][
]}",M25
229,229,yes,glassy,yes,Adipic acid,OC(=O)CCCCC(=O)O,"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)CCCCC(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,6.53,14.56,2.23,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OC(CC1)CCC1C(C)(C)C(CC2)CCC2O[>][]}",M25
230,230,yes,fluid,yes,Adipic acid,OC(=O)CCCCC(=O)O,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.0 2,6]decane",OCC(CC(C1)C2C3)C1C2CC3CO,C(=O)CCCCC(=O)OCC(CC(C1)C2C3)C1C2CC3CO,6.91,13.18,1.91,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC(CC(C1)C 2C3)C1C2CC3CO[>][]}",M25
231,231,no,solid,no,Adipic acid,OC(=O)CCCCC(=O)O,"2-Butyne-1,4-diol",OCC#CCO,C(=O)CCCCC(=O)OCC#CCO,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC#CCO[>][]}",M25
232,232,yes,fluid,no,Adipic acid,OC(=O)CCCCC(=O)O,"2,3-Butanediol",OC(C)C(C)O,C(=O)CCCCC(=O)OC(C)C(C)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OC(C)C(C)O[>] []}",M25
233,233,no,solid,yes,Succinic acid,OC(=O)CCC(=O)O,Resorcinol,Oc1cccc(c1)O,C(=O)CCC(=O)Oc1cccc(c1)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1cccc(c1)O[>][]}",M25
234,234,yes,crystalline,no,Adipic acid,OC(=O)CCCCC(=O)O,"1,4-Cyclohexanediol",OC(CC1)CCC1O,C(=O)CCCCC(=O)OC(CC1)CCC1O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OC(CC1)CCC1 O[>][]}",M25
235,235,no,solid,no,Adipic acid,OC(=O)CCCCC(=O)O,Resorcinol,Oc1cccc(c1)O,"C(=O)CCCCC(=O)Oc1cccc(c1)O
",,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1cccc(c1)O[
>][]}",M25
236,236,yes,fluid,no,Succinic acid,OC(=O)CCC(=O)O,"2,3-Butanediol",OC(C)C(C)O,C(=O)CCC(=O)OC(C)C(C)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OC(C)C(C)O[>][]}",M25
237,237,yes,glassy,yes,Succinic acid,OC(=O)CCC(=O)O,"1,4-Cyclohexanediol",OC(CC1)CCC1O,"C(=O)CCC(=O)OC(CC1)CCC1O
",,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OC(CC1)CCC1O[>
][]}",M25
238,238,no,solid,no,Succinic acid,OC(=O)CCC(=O)O,"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)CCC(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OC/C=C/CO[>][]}",M25
239,239,yes,fluid,yes,Succinic acid,OC(=O)CCC(=O)O,"2,2-diethyl-1,3- propanediol",OCC(CC)(CC)CO,"C(=O)CCC(=O)OCC(CC)(CC)CO
",,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCC(CC)(CC)CO[
>][]}",M25
240,240,yes,crystalline,yes,Suberic acid,OC(=O)CCCCCCC(=O)O,"1,4-cyclohexanedimethanol",OCC(CC1)CCC1CO,C(=O)CCCCCCC(=O)OCC(CC1)CCC1CO,,,,1:01,"{[][<]C(=O)CCCCCCC(=O)[<],[>]OCC(CC1)C CC1CO[>][]}",M25
241,241,yes,fluid,no,Succinic acid,OC(=O)CCC(=O)O,"2-Methyl-1,3- propanediol",OCC(C)CO,C(=O)CCC(=O)OCC(C)CO,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCC(C)CO[>][]}",M25
242,242,yes,fluid,yes,Succinic acid,OC(=O)CCC(=O)O,"2-Butyl-2-ethyl- 1,3-propanediol",OCC(CC)(CCCC)CO,C(=O)CCC(=O)OCC(CC)(CCCC)CO,20.47,32.8,1.6,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCC(CC)(CCCC) CO[>][]}",M25
243,243,yes,fluid,yes,Succinic acid,OC(=O)CCC(=O)O,"2,2,4-Trimethyl- 1,3-pentanediol",OCC(C)(C)C(C(C)C)O,C(=O)CCC(=O)OCC(C)(C)C(C(C)C)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCC(C)(C)C(C(C) C)O[>][]}",M25
244,244,yes,glassy,yes,Succinic acid,OC(=O)CCC(=O)O,"2,2-Dimethyl-1,3- propanediol",OCC(C)(C)CO,C(=O)CCC(=O)OCC(C)(C)CO,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCC(C)(C)CO[>][]}",M25
245,245,yes,crystalline,yes,Succinic acid,OC(=O)CCC(=O)O,"1,4-cyclohexanedimethanol",OCC(CC1)CCC1CO,C(=O)CCC(=O)OCC(CC1)CCC1CO,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCC(CC1)CCC1C O[>][]}",M25
246,246,yes,glassy,yes,Succinic acid,OC(=O)CCC(=O)O,"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)CCC(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OC(CC1)CCC1C( C)(C)C(CC2)CCC2O[>][]}",M25
247,247,no,solid,yes,Succinic acid,OC(=O)CCC(=O)O,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.0 2,6]decane",OCC(CC(C1)C2C3)C1C2CC3CO,C(=O)CCC(=O)OCC(CC(C1)C2C3)C1C2CC3CO,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCC(CC(C1)C2C3
)C1C2CC3CO[>][]}",M25
248,248,yes,crystalline,yes,Succinic acid,OC(=O)CCC(=O)O,Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)CCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1ccc(cc1)C(C)(
C)c2ccc(cc2)O[>][]}",M25
249,249,yes,fluid,no,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,"1,4-cyclohexanedimethanol",OCC(CC1)CCC1CO,C(=O)CN(C)CC(=O)OCC(CC1)CCC1CO,,,,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]OCC(CC1)CC C1CO[>][]}",M25
250,250,yes,fluid,no,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,"2,3-Butanediol",OC(C)C(C)O,C(=O)CSCC(=O)OC(C)C(C)O,,,,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OC(C)C(C)O[>][]}",M25
251,251,no,solid,no,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)CSCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]Oc1ccc(cc1)C(C) (C)c2ccc(cc2)O[>][]}",M25
252,252,yes,glassy,yes,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)CN(C)CC(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,,,,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]OC(CC1)CCC 1C(C)(C)C(CC2)CCC2O[>][]}",M25
253,253,yes,fluid,yes,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,"2-Butyl-2-ethyl- 1,3-propanediol",OCC(CC)(CCCC)CO,C(=O)CN(C)CC(=O)OCC(CC)(CCCC)CO,,,,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]OCC(CC)(CC CC)CO[>][]}",M25
254,254,no,solid,yes,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,Resorcinol,Oc1cccc(c1)O,C(=O)CN(C)CC(=O)Oc1cccc(c1)O,,,,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]Oc1cccc(c1)O [>][]}",M25
255,255,yes,fluid,no,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,"2,3-Butanediol",OC(C)C(C)O,"C(=O)CN(C)CC(=O)OC(C)C(C)O
",,,,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]OC(C)C(C)O[
>][]}",M25
256,256,yes,fluid,no,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,"1,4-cyclohexanedimethanol",OCC(CC1)CCC1CO,C(=O)CSCC(=O)OCC(CC1)CCC1CO,26.76,40.97,2.22,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OCC(CC1)CCC1 CO[>][]}",M25
257,257,yes,glassy,yes,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)CSCC(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,,,,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OC(CC1)CCC1C (C)(C)C(CC2)CCC2O[>][]}",M25
258,258,yes,fluid,yes,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,"2-Butyl-2-ethyl- 1,3-propanediol",OCC(CC)(CCCC)CO,C(=O)CSCC(=O)OCC(CC)(CCCC)CO,26.76,50.57,1.89,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OCC(CC)(CCCC) CO[>][]}",M25
259,259,no,solid,yes,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,Resorcinol,Oc1cccc(c1)O,"C(=O)CSCC(=O)Oc1cccc(c1)O
",,,,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]Oc1cccc(c1)O[>][
]}",M25
260,260,yes,fluid,no,Diglycolic acid,OC(=O)COCC(=O)O,"2,2-diethyl-1,3- propanediol",OCC(CC)(CC)CO,"C(=O)COC(=O)OCC(CC)(CC)CO
",12.91,19.18,1.49,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCC(CC)(CC)CO[
>][]}",M25
261,261,yes,glassy,no,Diglycolic acid,OC(=O)COCC(=O)O,Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)COC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,10.8,18.57,1.72,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1ccc(cc1)C(C)(
C)c2ccc(cc2)O[>][]}",M25
262,262,yes,glassy,yes,Diglycolic acid,OC(=O)COCC(=O)O,Resorcinol,Oc1cccc(c1)O,C(=O)COC(=O)Oc1cccc(c1)O,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1cccc(c1)O[>][]}",M25
263,263,yes,fluid,no,Diglycolic acid,OC(=O)COCC(=O)O,"2-Methyl-1,3- propanediol",OCC(C)CO,C(=O)COC(=O)OCC(C)CO,20.45,29.38,1.44,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCC(C)CO[>][]}",M25
264,264,yes,fluid,yes,Diglycolic acid,OC(=O)COCC(=O)O,"2-Butyl-2-ethyl- 1,3-propanediol",OCC(CC)(CCCC)CO,C(=O)COC(=O)OCC(CC)(CCCC)CO,14.84,23.83,1.61,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCC(CC)(CCCC) CO[>][]}",M25
265,265,yes,fluid,yes,Diglycolic acid,OC(=O)COCC(=O)O,"2,2,4-Trimethyl- 1,3-pentanediol",OCC(C)(C)C(C(C)C)O,C(=O)COC(=O)OCC(C)(C)C(C(C)C)O,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCC(C)(C)C(C(C) C)O[>][]}",M25
266,266,yes,fluid,no,Diglycolic acid,OC(=O)COCC(=O)O,"2,2-Dimethyl-1,3- propanediol",OCC(C)(C)CO,"C(=O)COC(=O)OCC(C)(C)CO
",16.45,26.42,1.61,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCC(C)(C)CO[>][]
}",M25
267,267,yes,fluid,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,4-cyclohexanedimethanol",OCC(CC1)CCC1CO,C(=O)COC(=O)OCC(CC1)CCC1CO,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCC(CC1)CCC1C O[>][]}",M25
268,268,yes,glassy,yes,Diglycolic acid,OC(=O)COCC(=O)O,"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)COC(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,8.29,14.89,1.8,1:01,"{[][<]C(=O)COC(=O)[<],[>]OC(CC1)CCC1C( C)(C)C(CC2)CCC2O[>][]}",M25
269,269,no,glassy,no,Diglycolic acid,OC(=O)COCC(=O)O,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.0 2,6]decane",OCC(CC(C1)C2C3)C1C2CC3CO,C(=O)COC(=O)OCC(CC(C1)C2C3)C1C2CC3CO,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCC(CC(C1)C2C3
)C1C2CC3CO[>][]}",M25
270,270,yes,crystalline,yes,Diglycolic acid,OC(=O)COCC(=O)O,"1,2:5,6-Dianhydro-d-glucitol",OC(C1CO1)C(C2CO2)O,C(=O)COC(=O)OC(C1CO1)C(C2CO2)O,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]OC(C1CO1)C(C2 CO2)O[>][]}",M25
271,271,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],ethylene glycol,OCCO,C(=O)c1ccc(cc1)C(=O)OCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCO[>][]}",M31
272,272,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,4-Butanediol",OCCCCO,"C(=O)c1ccc(cc1)C(=O)OCCCCO
",,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCCCO[
>][]}",M31
273,273,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)c1ccc(cc1)C(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC/C=C/C O[>][]}",M31
274,274,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2-Methyl-1,3- propanediol",OCC(C)CO,C(=O)c1ccc(cc1)C(=O)OCC(C)CO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCC(C)CO [>][]}",M31
275,275,yes,glassy,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2-Butyl-2-ethyl- 1,3-propanediol",OCC(CC)(CCCC)CO,C(=O)c1ccc(cc1)C(=O)OCC(CC)(CCCC)CO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCC(CC)( CCCC)CO[>][]}",M31
276,276,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,4-cyclohexanedimethanol",OCC(CC1)CCC1CO,C(=O)c1ccc(cc1)C(=O)OCC(CC1)CCC1CO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCC(CC1) CCC1CO[>][]}",M31
277,277,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)c1ccc(cc1)C(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC(CC1)C CC1C(C)(C)C(CC2)CCC2O[>][]}",M31
278,278,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1
)C(C)(C)c2ccc(cc2)O[>][]}",M31
279,279,yes,glassy,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,ethylene glycol,OCCO,"C(=O)C(CC1)CCC1C(=O)OCCO
",,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCCO[>
][]}",M25
280,280,yes,glassy,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"2,2-Dimethyl-1,3- propanediol",OCC(C)(C)CO,C(=O)C(CC1)CCC1C(=O)OCC(C)(C)CO,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCC(C) (C)CO[>][]}",M25
281,281,yes,fluid,no,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"2-Methyl-1,3- propanediol",OCC(C)CO,C(=O)C(CC1)CCC1C(=O)OCC(C)CO,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCC(C) CO[>][]}",M25
282,282,no,solid,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"1,4-Butanediol",OCCCCO,C(=O)C(CC1)CCC1C(=O)OCCCCO,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCCCC O[>][]}",M25
283,283,yes,fluid,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"3-methyl-1,5- pentanediol",OCCC(C)CCO,C(=O)C(CC1)CCC1C(=O)OCCC(C)CCO,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCCC( C)CCO[>][]}",M25
284,284,no,solid,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"1,10-decanediol",OCCCCCCCCCCO,C(=O)C(CC1)CCC1C(=O)OCCCCCCCCCCO,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCCCC CCCCCCO[>][]}",M25
285,285,yes,glassy,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"2-Butyl-2-ethyl- 1,3-propanediol",OCC(CC)(CCCC)CO,C(=O)C(CC1)CCC1C(=O)OCC(CC)(CCCC)CO,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCC(C C)(CCCC)CO[>][]}",M25
286,286,yes,glassy,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"1,4-Cyclohexanediol",OC(CC1)CCC1O,C(=O)C(CC1)CCC1C(=O)OC(CC1)CCC1O,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OC(CC1
)CCC1O[>][]}",M25
287,287,yes,glassy,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"1,4-cyclohexanedimethanol",OCC(CC1)CCC1CO,C(=O)C(CC1)CCC1C(=O)OCC(CC1)CCC1CO,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCC(C C1)CCC1CO[>][]}",M25
288,288,yes,crystalline,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)C(CC1)CCC1C(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OC(CC1
)CCC1C(C)(C)C(CC2)CCC2O[>][]}",M25
289,289,no,solid,yes,"1,4- cyclohexanedicarboxylic acid",OC(=O)C(CC1)CCC1C(=O)O,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.0 2,6]decane",OCC(CC(C1)C2C3)C1C2CC3CO,C(=O)C(CC1)CCC1C(=O)OCC(CC(C1)C2C3)C1C2CC3CO,,,,1:01,"{[][<]C(=O)C(CC1)CCC1C(=O)[<],[>]OCC(C C(C1)C2C3)C1C2CC3CO[>][]}",M25
290,290,no,solid,yes,Azelaic Acid,OC(=O)CCCCCCCC(=O)O,ethylene glycol,OCCO,"C(=O)CCCCCCCC(=O)OCCO
",8.89,19.11,2.15,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OCCO[>][]
}",M25
291,291,no,fluid,yes,pimelic acid,OC(=O)CCCCCC(=O)O,"3-methyl-1,5- pentanediol",OCCC(C)CCO,C(=O)CCCCCC(=O)OCCC(C)CCO,16.32,62.65,3.84,1:01,"{[][<]C(=O)CCCCCC(=O)[<],[>]OCCC(C)CC O[>][]}",M25
292,292,yes,crystalline,yes,Azelaic Acid,OC(=O)CCCCCCCC(=O)O,"1,3-Propanediol",OCCCO,C(=O)CCCCCCCC(=O)OCCCO,9.44,26.33,2.79,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OCCCO[>] []}",M25
293,293,yes,crystalline,yes,Azelaic Acid,OC(=O)CCCCCCCC(=O)O,"1,4-Butanediol",OCCCCO,"C(=O)CCCCCCCC(=O)OCCCCO
",,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OCCCCO[
>][]}",M25
294,294,yes,crystalline,yes,Azelaic Acid,OC(=O)CCCCCCCC(=O)O,"1,5-pentanediol",OCCCCCO,C(=O)CCCCCCCC(=O)OCCCCCO,,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OCCCCC O[>][]}",M25
295,295,yes,fluid,yes,Azelaic Acid,OC(=O)CCCCCCCC(=O)O,"3-methyl-1,5- pentanediol",OCCC(C)CCO,C(=O)CCCCCCCC(=O)OCCC(C)CCO,8.02,42.88,5.35,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OCCC(C) CCO[>][]}",M25
296,296,yes,crystalline,yes,Azelaic Acid,OC(=O)CCCCCCCC(=O)O,"1,10-decanediol",OCCCCCCCCCCO,C(=O)CCCCCCCC(=O)OCCCCCCCCCCO,15.75,137.4,8.72,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OCCCCC CCCCCO[>][]}",M25
297,297,yes,crystalline,no,pimelic acid,OC(=O)CCCCCC(=O)O,ethylene glycol,OCCO,C(=O)CCCCCC(=O)OCCO,11.41,59.09,5.18,1:01,"{[][<]C(=O)CCCCCC(=O)[<],[>]OCCO[>][]}",M25
298,298,yes,glassy,no,pimelic acid,OC(=O)CCCCCC(=O)O,"1,3-Propanediol",OCCCO,C(=O)CCCCCC(=O)OCCCO,8.13,12.47,1.53,1:01,"{[][<]C(=O)CCCCCC(=O)[<],[>]OCCCO[>][]}",M25
